Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2002-01-01,EQ,83.55,86.45,82.3,82.8,83.65,83.15,84.36,99.00,44.00,"29,368","24,77,442.65",-
2002-01-02,EQ,84.0,85.0,83.0,83.15,85.0,84.3,84.06,99.00,44.00,"15,373","12,92,245.05",-
2002-01-03,EQ,85.5,88.0,85.0,84.3,85.15,85.85,85.68,99.00,44.00,"32,570","27,90,594.95",-
2002-01-04,EQ,87.7,88.0,85.0,85.85,85.0,85.35,85.83,99.00,44.00,"27,795","23,85,740.65",-
2002-01-07,EQ,87.0,87.8,85.05,85.35,86.95,86.0,86.37,99.00,44.00,"16,221","14,01,051.45",-
2002-01-08,EQ,86.25,87.0,84.5,86.0,84.6,85.05,85.2,99.00,44.00,"17,855","15,21,296.45",-
2002-01-09,EQ,84.0,93.6,83.65,85.05,92.0,89.95,89.24,99.00,44.00,"90,455","80,72,366.65",-
2002-01-10,EQ,89.05,99.45,89.05,89.95,98.25,98.7,97.07,99.00,44.00,"3,48,652","3,38,42,543.45",-
2002-01-11,EQ,92.0,108.5,91.55,98.7,105.0,100.45,102.38,99.45,44.00,"4,09,450","4,19,19,885.15",-
2002-01-14,EQ,108.0,120.55,106.0,100.45,118.55,118.95,118.3,108.50,44.00,"6,00,884","7,10,82,041.70",-
2002-01-15,EQ,121.0,123.5,110.4,118.95,111.5,111.95,114.93,120.55,44.00,"3,02,915","3,48,15,129.85",-
2002-01-16,EQ,134.0,134.0,108.5,111.95,117.7,117.7,118.2,123.50,44.00,"4,23,865","5,01,01,113.15",-
2002-01-17,EQ,141.0,141.0,111.0,117.7,123.1,123.65,124.6,134.00,44.00,"3,84,838","4,79,50,607.20",-
2002-01-18,EQ,128.4,128.4,117.1,123.65,117.45,118.85,122.05,141.00,44.00,"1,94,728","2,37,67,002.90",-
2002-01-21,EQ,119.0,125.0,115.0,118.85,116.0,117.25,120.9,141.00,44.00,"1,42,197","1,71,91,694.65",-
2002-01-22,EQ,118.0,119.8,114.0,117.25,115.4,114.9,116.99,141.00,44.00,"64,994","76,03,911.00",-
2002-01-23,EQ,115.0,120.5,112.1,114.9,113.0,113.35,116.28,141.00,44.00,"1,72,620","2,00,72,072.80",-
2002-01-24,EQ,115.05,116.9,109.0,113.35,109.95,110.0,112.67,141.00,44.00,"99,383","1,11,97,715.65",-
2002-01-25,EQ,113.0,114.0,107.35,110.0,111.15,110.8,110.95,141.00,44.00,"77,828","86,35,398.25",-
2002-01-28,EQ,113.8,113.8,108.0,110.8,108.5,109.75,111.36,141.00,44.00,"45,547","50,71,953.30",-
2002-01-29,EQ,110.7,113.0,105.1,109.75,107.0,107.05,110.05,141.00,44.00,"86,945","95,67,981.70",-
2002-01-30,EQ,105.0,106.95,103.1,107.05,104.2,104.85,105.59,141.00,44.00,"56,130","59,26,894.60",-
2002-01-31,EQ,106.0,112.0,106.0,104.85,110.0,109.4,109.22,141.00,44.00,"99,976","1,09,19,185.85",-
2002-02-01,EQ,112.0,130.0,111.5,109.4,122.45,121.4,122.11,141.00,44.00,"5,99,365","7,31,86,314.90",-
2002-02-04,EQ,123.0,129.0,119.8,121.4,122.5,121.55,125.01,141.00,44.00,"3,40,775","4,25,99,237.40",-
